Date,Location,MinTemp,MaxTemp,Temperature,Humidity,Pressure,WindSpeed,WindDir,CloudCover,SunshineHours,Rainfall,RainToday,RainTomorrow
2014-02-13,Hubballi,22.0,32.8,26.3,53.3,1013.6,16.8,N,42.4,5.2,0.0,No,No
2014-02-14,Bengaluru,16.1,25.7,21.7,60.7,1013.6,20.2,NW,50.0,4.9,6.1,Yes,Yes
2014-02-15,Mysuru,18.6,29.3,24.8,44.3,1012.7,14.4,N,52.7,6.7,0.0,No,No
2014-02-16,Mysuru,19.0,29.8,25.9,57.6,1005.5,16.0,E,34.4,6.3,0.0,No,No
2014-02-17,Hubballi,26.1,37.9,32.1,82.8,1005.1,14.6,SW,38.4,5.8,12.9,Yes,Yes
2014-02-18,Hubballi,24.4,33.9,29.3,47.5,1002.1,17.3,NE,54.1,,0.0,No,Yes
2014-02-19,Belagavi,16.8,25.8,21.0,53.4,1008.9,11.4,SE,23.6,,0.0,No,No
2014-02-20,Mangaluru,22.7,35.1,29.4,39.6,1003.0,17.5,SE,60.1,2.5,9.9,Yes,Yes
2014-02-21,Bengaluru,21.6,32.2,26.7,50.5,1002.4,17.5,E,42.9,6.0,0.1,No,Yes
2014-02-22,Belagavi,19.9,31.7,25.6,53.7,1006.1,17.4,S,23.3,6.3,0.0,No,Yes
2014-02-23,Hubballi,26.0,36.8,30.9,50.3,1005.7,10.4,E,37.9,5.1,1.3,Yes,No
2014-02-24,Mysuru,28.6,37.4,32.6,35.6,1005.4,12.3,E,44.9,6.9,0.0,No,No
2014-02-25,Mysuru,27.1,36.1,32.3,50.2,1010.4,13.9,NE,37.1,8.0,0.0,No,No
2014-02-26,Belagavi,18.9,29.2,25.3,65.1,1008.4,7.4,S,51.3,6.7,5.3,Yes,Yes
2014-02-27,Mysuru,23.0,33.3,27.5,52.8,1006.5,19.2,SW,57.2,6.6,3.8,Yes,No
2014-02-28,Mysuru,24.4,34.2,30.1,58.8,1008.8,12.7,SW,45.5,7.7,3.5,Yes,Yes
2014-03-01,Mangaluru,29.6,37.5,32.8,44.3,1002.9,13.8,E,28.7,5.1,0.0,No,No
2014-03-02,Hubballi,20.3,30.5,27.0,56.0,1008.3,10.4,SW,42.9,7.0,16.0,Yes,No
2014-03-03,Belagavi,21.4,31.8,28.3,50.2,1008.5,7.3,NW,66.3,3.8,0.0,No,Yes
2014-03-04,Bengaluru,20.1,28.6,24.6,35.3,,10.2,SE,64.4,3.7,7.7,Yes,Yes
2014-03-05,Bengaluru,19.4,27.7,24.3,50.4,1012.6,13.4,NE,14.9,9.4,0.0,No,Yes
2014-03-06,Hubballi,28.8,36.5,32.4,34.6,1003.2,15.2,SW,55.2,3.3,1.0,Yes,Yes
2014-03-07,Bengaluru,30.9,40.0,34.7,38.8,1008.0,13.1,S,44.3,4.2,0.0,No,No
2014-03-08,Mysuru,23.6,35.0,29.0,48.6,1013.3,13.8,SE,58.3,5.9,9.7,Yes,Yes
2014-03-09,Mangaluru,27.9,36.5,33.4,,1012.1,11.0,N,36.6,7.5,0.0,No,No
2014-03-10,Belagavi,26.5,36.3,30.9,31.8,1007.6,14.3,NE,11.2,9.2,0.0,No,No
2014-03-11,Belagavi,22.4,31.3,26.9,58.6,1005.6,18.3,SE,57.2,4.2,13.1,Yes,Yes
2014-03-12,Mysuru,25.9,34.9,31.0,52.8,1012.1,15.1,E,32.0,8.2,0.0,No,No
2014-03-13,Hubballi,29.0,38.8,35.7,37.4,1010.7,15.5,E,19.1,9.2,0.0,No,No
2014-03-14,Mangaluru,25.9,33.8,29.5,27.3,1004.2,13.4,NE,16.1,8.8,0.0,No,No
2014-03-15,Bengaluru,30.7,42.1,35.9,43.9,1003.3,6.2,S,51.6,4.3,0.0,No,Yes
2014-03-16,Belagavi,16.0,24.3,19.2,40.2,996.9,,W,43.2,5.9,0.0,No,Yes
2014-03-17,Belagavi,28.2,39.1,33.0,46.9,1008.0,14.0,E,55.5,6.4,3.0,Yes,No
2014-03-18,Hubballi,25.5,34.8,30.1,41.1,1006.8,12.1,SE,51.5,7.3,0.0,No,No
2014-03-19,Mangaluru,24.9,35.0,28.6,21.3,1012.8,13.9,N,27.2,7.3,0.0,No,No
2014-03-20,Bengaluru,26.5,33.8,30.2,40.7,1008.9,18.8,S,40.2,6.3,2.7,Yes,Yes
2014-03-21,Belagavi,17.1,28.2,21.9,41.6,1013.8,15.0,W,34.0,7.0,0.1,No,No
2014-03-22,Belagavi,25.5,33.9,29.0,52.8,1003.6,17.1,NE,43.0,6.7,0.0,No,No
2014-03-23,Bengaluru,27.1,37.3,31.3,36.8,1012.8,12.4,E,25.2,7.2,0.0,No,No
2014-03-24,Mangaluru,32.5,39.8,35.8,65.3,1004.4,8.8,S,57.0,1.8,0.0,No,No
2014-03-25,Mangaluru,23.7,32.8,27.9,22.2,1010.9,11.8,NW,50.0,7.3,0.0,No,No
2014-03-26,Mangaluru,21.6,32.7,26.7,60.8,999.7,8.8,N,37.1,9.1,8.0,Yes,Yes
2014-03-27,Belagavi,22.0,32.9,28.0,,1008.2,18.3,NW,61.2,4.2,0.7,No,No
2014-03-28,Mysuru,27.3,38.5,33.6,,997.1,15.2,NW,48.8,4.6,5.8,Yes,Yes
2014-03-29,Belagavi,27.0,37.5,31.3,46.0,1005.7,14.1,NW,47.0,5.9,0.0,No,No
2014-03-30,Hubballi,21.1,31.5,27.9,58.7,1009.2,16.9,S,23.0,7.9,0.0,No,No
2014-03-31,Hubballi,28.1,37.0,32.1,40.4,1004.4,3.9,S,14.0,10.0,0.0,No,No
2014-04-01,Belagavi,27.1,36.7,30.4,31.8,1001.7,14.4,NE,39.9,6.7,0.0,No,No
2014-04-02,Belagavi,27.2,40.3,33.9,62.0,1011.2,6.8,W,61.7,3.9,5.6,Yes,Yes
2014-04-03,Bengaluru,22.0,30.7,27.2,43.6,1006.5,12.0,N,32.4,5.7,0.0,No,Yes
2014-04-04,Mangaluru,24.3,35.1,28.7,47.7,1004.6,10.8,NW,69.1,5.3,0.0,No,Yes
2014-04-05,Bengaluru,21.8,31.5,28.4,59.8,1007.2,14.7,N,60.0,5.7,0.0,No,Yes
2014-04-06,Hubballi,18.0,30.5,24.1,32.7,,12.9,S,24.4,9.2,0.0,No,No
2014-04-07,Hubballi,24.8,35.2,31.1,52.2,1012.8,17.4,E,,5.0,0.6,No,No
2014-04-08,Mysuru,26.8,36.3,31.0,38.0,1012.9,9.6,S,77.4,5.8,9.7,Yes,No
2014-04-09,Mangaluru,23.5,33.0,30.0,43.5,1009.2,14.9,SE,23.8,5.9,0.0,No,Yes
2014-04-10,Mangaluru,23.4,34.9,29.0,46.0,1007.9,12.7,E,51.3,6.6,0.0,No,No
2014-04-11,Hubballi,18.3,29.0,24.2,27.2,995.1,5.5,NE,31.0,5.1,0.0,No,Yes
2014-04-12,Bengaluru,23.9,34.6,28.2,35.9,1003.7,8.4,NW,50.0,4.9,0.0,No,Yes
2014-04-13,Belagavi,24.5,33.7,28.5,61.5,1004.7,11.5,NW,68.6,6.2,3.0,Yes,Yes
2014-04-14,Mangaluru,22.0,32.9,26.6,56.0,997.8,16.6,N,41.6,7.5,7.8,Yes,No
2014-04-15,Belagavi,23.8,34.6,29.1,44.7,1001.4,14.0,SW,59.6,4.4,4.6,Yes,Yes
2014-04-16,Hubballi,25.7,37.3,31.4,48.4,997.3,7.5,E,77.7,2.9,14.4,Yes,Yes
2014-04-17,Mysuru,32.3,43.2,37.3,42.0,1007.0,11.6,NE,42.8,6.6,0.0,No,Yes
2014-04-18,Hubballi,24.6,34.4,30.4,61.9,1011.3,20.3,S,61.5,5.5,10.7,Yes,No
2014-04-19,Belagavi,24.8,36.0,30.7,43.3,1012.8,12.7,NE,33.5,8.7,0.0,No,No
2014-04-20,Hubballi,23.6,35.8,29.3,48.6,1009.4,10.9,NW,44.7,5.7,4.6,Yes,Yes
2014-04-21,Mangaluru,17.9,28.4,21.9,59.6,1002.5,14.3,SE,46.2,4.2,6.9,Yes,No
2014-04-22,Belagavi,24.6,33.9,29.4,36.6,997.7,15.4,SW,51.6,5.9,0.0,No,Yes
2014-04-23,Belagavi,23.6,34.0,29.7,64.7,998.6,10.5,NE,69.0,3.7,15.2,Yes,Yes
2014-04-24,Mysuru,32.7,44.9,39.3,27.8,1001.1,14.4,NW,34.5,5.6,0.0,No,No
2014-04-25,Mangaluru,23.6,34.7,28.6,65.8,1003.0,11.1,SW,74.3,4.2,23.4,Yes,Yes
2014-04-26,Bengaluru,23.5,33.6,30.5,41.9,1006.7,15.3,NW,64.7,4.4,3.1,Yes,Yes
2014-04-27,Mysuru,25.4,32.5,29.1,43.5,1002.5,13.2,SW,55.1,5.8,1.5,Yes,Yes
2014-04-28,Mangaluru,20.6,30.6,24.5,23.9,1009.3,14.4,E,26.8,6.7,0.0,No,No
2014-04-29,Bengaluru,28.8,38.4,33.7,41.2,1006.5,9.5,W,32.3,7.9,0.0,No,No
2014-04-30,Belagavi,27.0,37.7,32.1,,1007.8,9.3,N,26.5,6.2,0.0,No,No
2014-05-01,Mysuru,27.4,38.4,32.1,39.6,1013.5,16.4,NW,55.1,4.4,0.0,No,Yes
2014-05-02,Belagavi,20.6,31.3,25.3,45.4,1001.9,12.4,E,25.0,7.6,0.0,No,No
2014-05-03,Belagavi,29.5,40.7,34.5,58.7,1010.0,13.9,NW,58.6,7.2,0.0,No,Yes
2014-05-04,Belagavi,18.9,28.2,23.2,49.8,1007.9,11.5,E,28.7,8.5,0.0,No,No
2014-05-05,Mangaluru,27.5,34.7,31.0,51.1,1006.3,16.4,N,57.8,6.5,11.4,Yes,Yes
2014-05-06,Bengaluru,30.6,42.3,37.4,34.4,1012.5,10.4,SE,39.0,8.4,0.0,No,No
2014-05-07,Mangaluru,18.4,31.4,24.6,37.2,1012.5,12.4,E,59.9,9.3,0.0,No,Yes
2014-05-08,Belagavi,19.9,30.4,26.2,69.5,1003.4,16.1,NW,69.9,4.2,3.3,Yes,Yes
2014-05-09,Mysuru,24.3,33.5,28.8,39.2,1007.3,17.7,N,62.2,6.5,8.9,Yes,Yes
2014-05-10,Belagavi,21.7,32.3,26.3,68.1,1009.7,11.0,N,74.1,5.0,15.4,Yes,Yes
2014-05-11,Bengaluru,15.3,25.3,22.0,45.4,1007.0,21.0,E,45.3,7.4,2.7,Yes,Yes
2014-05-12,Mangaluru,21.5,34.4,28.4,48.6,1011.3,14.4,SW,,9.9,0.0,No,No
2014-05-13,Bengaluru,17.0,27.9,23.8,61.5,1009.9,9.1,N,33.8,6.7,0.0,No,No
2014-05-14,Mangaluru,24.3,33.9,29.8,64.1,1017.7,14.8,SW,19.3,7.8,0.0,No,No
2014-05-15,Bengaluru,20.2,29.5,24.2,47.7,1001.0,11.8,S,27.8,8.1,5.7,Yes,No
2014-05-16,Bengaluru,28.5,38.0,34.0,,1008.1,15.1,E,43.9,6.1,0.0,No,Yes
2014-05-17,Mangaluru,19.2,30.1,24.5,48.7,1004.2,,SW,36.1,7.4,1.4,Yes,No
2014-05-18,Mangaluru,19.6,32.9,26.3,53.6,1011.9,13.8,SE,43.8,8.2,3.6,Yes,Yes
2014-05-19,Mangaluru,26.5,35.3,30.7,60.5,1000.8,9.9,S,56.6,4.7,12.3,Yes,Yes
2014-05-20,Hubballi,18.6,29.2,22.4,50.0,1010.7,17.6,W,40.4,6.3,0.0,No,No
2014-05-21,Bengaluru,24.1,34.9,28.2,57.6,1005.9,9.1,SE,31.2,7.6,0.0,No,Yes
2014-05-22,Hubballi,28.4,36.2,32.4,70.0,1005.5,9.3,SW,52.2,5.4,13.5,Yes,Yes
2014-05-23,Hubballi,15.0,25.3,20.6,55.1,1002.0,15.3,W,33.6,4.9,5.0,Yes,Yes
2014-05-24,Belagavi,21.4,34.6,27.7,54.5,1007.0,20.3,NW,42.7,5.7,7.4,Yes,Yes
2014-05-25,Hubballi,23.4,31.4,27.9,32.7,1014.8,12.6,E,58.2,6.0,0.0,No,No
2014-05-26,Hubballi,26.1,34.7,29.8,19.6,1009.3,16.9,NE,28.8,9.3,0.0,No,No
2014-05-27,Mangaluru,17.3,26.4,21.7,56.0,1012.7,18.4,NW,74.0,2.4,3.8,Yes,Yes
2014-05-28,Mangaluru,16.0,27.4,21.2,50.4,1018.0,17.5,N,66.7,3.1,0.0,No,Yes
2014-05-29,Mysuru,22.8,32.1,28.5,45.6,1011.0,13.0,S,34.6,7.2,0.0,No,No
2014-05-30,Bengaluru,22.2,31.3,27.4,54.9,1007.0,10.0,E,30.3,5.0,0.0,No,Yes
2014-05-31,Hubballi,23.1,30.8,27.1,51.5,1012.2,,N,44.8,5.7,0.0,No,Yes
2014-06-01,Hubballi,20.7,31.1,27.4,66.0,1007.3,13.4,SW,68.7,2.2,19.1,Yes,Yes
2014-06-02,Bengaluru,18.4,27.2,23.2,53.7,1007.6,19.3,NE,39.1,8.4,6.3,Yes,Yes
2014-06-03,Mangaluru,21.9,31.8,26.7,43.9,1002.6,10.1,SE,56.2,4.4,3.7,Yes,Yes
2014-06-04,Mangaluru,20.0,32.7,26.8,65.0,1014.9,17.5,NW,69.1,6.2,5.8,Yes,Yes
2014-06-05,Bengaluru,16.2,27.2,22.7,50.8,1008.4,11.0,NW,33.7,8.5,0.0,No,No
2014-06-06,Bengaluru,26.7,37.7,32.9,59.9,1011.4,15.3,E,,6.0,4.8,Yes,No
2014-06-07,Mangaluru,23.5,33.4,27.2,48.1,1005.4,17.8,E,54.9,4.1,1.7,Yes,Yes
2014-06-08,Bengaluru,14.0,25.5,20.4,46.3,1012.8,12.4,SW,45.8,6.0,0.0,No,Yes
2014-06-09,Mangaluru,22.8,33.0,27.7,55.3,1006.9,15.8,NE,36.8,6.8,6.5,Yes,Yes
2014-06-10,Bengaluru,17.2,26.1,21.0,54.7,1010.1,13.5,W,,6.9,0.0,No,Yes
2014-06-11,Mangaluru,21.0,34.1,27.9,60.5,1015.3,18.1,SE,48.2,5.1,0.0,No,Yes
2014-06-12,Mysuru,25.6,33.0,29.3,51.8,1015.0,16.3,E,22.3,9.0,0.0,No,No
2014-06-13,Mangaluru,14.5,28.2,21.2,33.2,1011.0,15.7,NW,49.8,6.2,0.0,No,No
2014-06-14,Mangaluru,25.2,34.8,28.2,50.3,1002.4,21.7,SW,38.0,6.4,0.0,No,No
2014-06-15,Hubballi,21.2,30.5,25.9,65.3,1026.3,18.2,NW,9.4,8.4,0.0,No,No
2014-06-16,Mangaluru,24.3,32.1,27.4,52.4,1020.1,12.9,W,45.6,6.0,0.0,No,No
2014-06-17,Bengaluru,24.9,38.0,31.6,53.3,1015.1,15.4,N,35.2,6.1,0.0,No,No
2014-06-18,Belagavi,19.4,27.7,22.9,68.4,1007.8,15.5,SW,77.7,3.6,17.4,Yes,Yes
2014-06-19,Bengaluru,15.0,25.7,20.7,48.2,1011.1,16.2,NE,35.5,7.1,0.0,No,No
2014-06-20,Hubballi,14.5,26.0,20.0,38.5,1009.1,26.1,W,23.9,8.3,0.0,No,No
2014-06-21,Bengaluru,14.1,24.7,20.2,55.3,1018.2,17.6,E,54.8,7.6,5.4,Yes,No
2014-06-22,Mysuru,17.0,27.8,23.0,51.7,1013.3,8.0,SW,35.8,6.9,0.0,No,No
2014-06-23,Belagavi,21.4,27.7,24.5,46.2,1008.2,14.1,W,31.8,8.6,0.0,No,No
2014-06-24,Belagavi,19.6,27.7,24.2,55.9,1009.9,8.6,NW,55.0,5.7,2.0,Yes,Yes
2014-06-25,Hubballi,21.9,31.1,26.2,64.2,1017.9,15.1,SE,35.1,6.8,0.0,No,No
2014-06-26,Belagavi,15.9,26.0,22.8,58.4,1020.4,8.6,NW,26.5,7.6,2.3,Yes,No
2014-06-27,Mangaluru,22.4,32.7,28.4,62.5,1020.2,13.1,S,75.9,3.6,24.5,Yes,No
2014-06-28,Hubballi,15.6,26.2,21.4,80.8,1016.4,10.6,E,66.0,4.8,1.9,Yes,Yes
2014-06-29,Mysuru,28.5,36.6,33.2,55.2,1011.5,18.3,SE,43.1,5.3,4.9,Yes,Yes
2014-06-30,Belagavi,18.2,28.0,24.7,62.9,996.6,16.9,NE,50.1,4.1,8.4,Yes,Yes
2014-07-01,Belagavi,15.6,21.7,18.7,53.7,1014.4,18.2,SE,54.1,6.3,6.3,Yes,Yes
2014-07-02,Hubballi,13.8,22.6,17.7,49.9,1013.0,16.6,SE,59.6,6.1,6.4,Yes,No
2014-07-03,Belagavi,18.0,27.3,23.7,53.3,1013.8,11.5,W,35.0,8.0,3.8,Yes,Yes
2014-07-04,Belagavi,15.7,26.5,20.8,54.9,1013.5,19.3,NE,52.4,5.8,2.1,Yes,Yes
2014-07-05,Mysuru,19.3,29.4,24.4,65.2,1006.7,25.0,S,43.5,7.3,0.0,No,No
2014-07-06,Mysuru,18.6,26.4,23.3,89.3,1016.2,,SW,57.9,6.0,18.3,Yes,Yes
2014-07-07,Hubballi,17.3,24.2,21.0,52.8,1016.7,15.8,NW,48.5,6.9,0.0,No,No
2014-07-08,Belagavi,14.1,24.4,17.7,56.6,1017.1,11.8,N,47.6,5.0,0.0,No,No
2014-07-09,Bengaluru,10.8,18.4,14.9,61.1,1018.5,14.0,S,60.5,3.6,0.0,No,Yes
2014-07-10,Hubballi,14.2,25.1,19.1,66.9,1016.9,19.5,N,59.1,4.6,10.9,Yes,Yes
2014-07-11,Mysuru,17.8,28.1,24.1,65.6,1011.9,22.1,N,28.6,7.6,8.4,Yes,No
2014-07-12,Bengaluru,16.6,25.7,21.4,,1013.7,18.9,N,35.9,6.7,0.0,No,Yes
2014-07-13,Belagavi,8.9,18.6,15.5,33.8,1014.6,21.2,E,33.0,5.0,0.0,No,No
2014-07-14,Hubballi,17.5,26.2,21.0,34.5,1014.8,20.9,NW,66.2,6.5,0.0,No,No
2014-07-15,Hubballi,17.6,26.6,21.7,57.5,1019.4,20.2,S,35.2,6.7,0.0,No,No
2014-07-16,Mysuru,13.2,22.5,16.5,76.8,1017.7,15.6,SE,52.6,5.8,7.3,Yes,Yes
2014-07-17,Mangaluru,15.5,27.1,20.5,45.1,1025.0,19.0,W,35.0,8.6,0.0,No,Yes
2014-07-18,Mangaluru,16.6,25.2,20.0,28.1,1025.7,15.0,E,27.9,4.9,0.0,No,No
2014-07-19,Mangaluru,8.9,21.9,15.1,71.3,1015.2,18.5,W,56.2,4.7,1.7,Yes,Yes
2014-07-20,Hubballi,17.8,24.5,20.9,67.6,,19.9,NE,73.0,3.4,10.9,Yes,Yes
2014-07-21,Mysuru,16.7,26.0,21.6,51.8,1021.1,25.4,NE,52.6,5.2,0.0,No,Yes
2014-07-22,Mysuru,18.9,29.9,23.6,53.3,1012.4,13.5,N,34.3,6.9,0.0,No,No
2014-07-23,Mangaluru,19.5,28.6,23.3,53.8,1011.1,20.7,,87.8,4.4,7.4,Yes,Yes
2014-07-24,Bengaluru,8.1,18.7,13.5,67.0,1013.3,24.8,SW,53.0,6.4,0.5,No,No
2014-07-25,Mangaluru,10.6,20.0,15.1,58.4,1013.1,22.0,W,39.7,7.8,0.8,No,Yes
2014-07-26,Hubballi,17.0,23.9,20.8,72.0,1018.5,22.4,SW,75.0,3.8,13.6,Yes,Yes
2014-07-27,Bengaluru,14.4,24.0,20.7,32.1,1007.7,21.5,E,30.8,5.8,0.0,No,No
2014-07-28,Mysuru,14.9,23.9,20.6,56.3,1010.2,24.4,NE,72.5,1.5,5.8,Yes,Yes
2014-07-29,Belagavi,30.7,37.5,33.8,53.3,1017.4,14.9,SE,33.3,5.4,0.0,No,No
2014-07-30,Bengaluru,15.5,23.9,20.5,64.0,1018.9,13.8,S,72.0,4.4,1.3,Yes,Yes
2014-07-31,Mysuru,18.6,26.1,22.7,60.8,1019.1,19.4,,52.3,5.7,0.0,No,Yes
2014-08-01,Bengaluru,15.2,27.4,21.8,77.1,1012.1,10.9,NW,75.2,3.5,18.6,Yes,Yes
2014-08-02,Mangaluru,14.6,24.0,20.5,45.4,1011.2,24.5,N,71.7,3.6,0.0,No,Yes
2014-08-03,Bengaluru,11.1,21.4,16.5,68.5,1013.6,24.5,W,35.4,9.5,0.3,No,No
2014-08-04,Bengaluru,17.3,23.9,20.7,74.8,1017.5,18.0,N,74.1,2.8,9.2,Yes,Yes
2014-08-05,Bengaluru,7.7,18.5,14.4,90.6,1023.8,18.3,N,40.1,7.8,9.3,Yes,No
2014-08-06,Hubballi,12.9,23.2,16.5,62.8,1006.2,19.6,NE,34.4,7.1,0.0,No,Yes
2014-08-07,Hubballi,10.6,18.5,15.4,72.7,1015.4,20.1,NE,42.0,6.4,3.3,Yes,Yes
2014-08-08,Mangaluru,11.8,24.0,17.5,47.3,1009.9,20.5,NW,51.5,7.1,1.0,No,Yes
2014-08-09,Belagavi,21.4,32.4,26.4,40.5,1008.4,22.3,SW,41.7,8.3,0.0,No,Yes
2014-08-10,Hubballi,3.0,16.2,9.5,79.5,1021.6,19.4,NW,54.3,5.2,0.0,No,No
2014-08-11,Belagavi,13.3,25.8,19.6,69.5,1019.6,24.0,S,55.0,6.4,3.2,Yes,Yes
2014-08-12,Hubballi,6.8,16.6,10.3,83.9,1019.2,22.0,SW,67.4,4.8,15.1,Yes,Yes
2014-08-13,Mysuru,9.3,18.2,14.8,53.5,1021.6,17.9,SW,56.4,5.3,0.0,No,Yes
2014-08-14,Mysuru,17.7,27.3,20.9,76.4,1014.7,25.7,N,72.0,4.2,15.7,Yes,Yes
2014-08-15,Bengaluru,10.8,21.6,16.7,92.8,1015.0,15.0,SW,89.4,1.7,15.8,Yes,Yes
2014-08-16,Belagavi,6.1,16.5,12.1,75.6,1028.2,20.1,E,54.9,5.1,0.0,No,No
2014-08-17,Bengaluru,9.0,17.0,13.4,74.1,1016.1,24.4,,46.8,5.4,5.2,Yes,Yes
2014-08-18,Bengaluru,12.8,21.9,18.9,71.0,1021.0,17.7,W,62.6,5.9,0.0,No,Yes
2014-08-19,Hubballi,7.6,18.7,13.2,52.2,1017.5,21.9,,28.7,7.5,0.0,No,Yes
2014-08-20,Hubballi,11.8,22.8,16.9,87.5,1008.3,22.9,NE,49.8,4.3,18.8,Yes,Yes
2014-08-21,Bengaluru,11.3,20.6,16.1,64.1,1007.3,17.4,SW,65.6,3.7,10.5,Yes,Yes
2014-08-22,Hubballi,9.8,16.9,13.2,77.7,1014.7,20.6,W,54.2,1.6,4.9,Yes,Yes
2014-08-23,Mysuru,19.2,27.9,24.3,53.0,1023.0,20.3,N,28.1,7.1,0.0,No,No
2014-08-24,Mysuru,14.6,21.9,18.2,57.8,1021.7,18.8,NW,25.8,7.9,0.0,No,Yes
